hpf,lpf,harmonics,window_s,ema_alpha,accuracy,L_accuracy,R_accuracy,n_trials,lat_first_p50_ms,lat_first_p95_ms,lat_sus_p50_ms,lat_sus_p95_ms,lat_sus_n
3.0,25.0,1,0.5,0.0,0.725,1.0,0.45,40,190.00005722045898,673.9999055862417,506.0000419616699,1842.949998378753,40
3.0,25.0,1,0.5,0.1,0.725,1.0,0.45,40,190.00005722045898,700.600016117095,536.0000133514404,1842.949998378753,40
3.0,25.0,1,0.5,0.2,0.725,1.0,0.45,40,190.00005722045898,1017.2000408172605,536.0000133514404,1842.949998378753,40
3.0,25.0,1,0.5,0.3,0.725,1.0,0.45,40,202.00002193450928,1017.2000408172605,506.0000419616699,1842.949998378753,40
3.0,25.0,1,0.5,0.4,0.725,1.0,0.45,40,202.00002193450928,1043.8001871109007,519.9999809265137,1856.900000572205,39
3.0,25.0,1,0.5,0.5,0.7,1.0,0.4,40,190.00005722045898,1254.449915885925,440.000057220459,1856.900000572205,39
3.0,25.0,1,0.5,0.6,0.7,1.0,0.4,40,190.00005722045898,1662.9499554634076,440.000057220459,1956.9000005722064,39
3.0,25.0,1,0.5,0.7,0.7,1.0,0.4,40,172.00005054473877,2453.4500002860996,383.9998245239258,1936.8999958038344,39
3.0,25.0,1,0.5,0.8,0.7,1.0,0.4,40,128.00002098083496,2973.4499931335413,283.9999198913574,1956.9000005722064,39
3.0,25.0,1,0.5,0.9,0.675,1.0,0.35,40,118.00003051757812,2409.8500728607164,299.9999523162842,3259.150159358978,38
3.0,25.0,1,0.75,0.0,0.7,1.0,0.4,40,222.0001220703125,1124.5500445365903,620.0001239776611,2347.1998214721693,39
3.0,25.0,1,0.75,0.1,0.7,1.0,0.4,40,186.00010871887207,1124.5500445365903,620.0001239776611,2142.9000616073627,39
3.0,25.0,1,0.75,0.2,0.7,1.0,0.4,40,222.0001220703125,1196.049916744232,723.9999771118164,2142.9000616073627,39
3.0,25.0,1,0.75,0.3,0.7,1.0,0.4,40,186.00010871887207,1282.5500130653375,723.9999771118164,2142.9000616073627,39
3.0,25.0,1,0.75,0.4,0.7,1.0,0.4,40,186.00010871887207,1357.5998783111565,772.0000743865967,2142.9000616073627,39
3.0,25.0,1,0.75,0.5,0.725,1.0,0.45,40,138.0000114440918,2078.6500811576807,825.0000476837158,2142.9000616073627,39
3.0,25.0,1,0.75,0.6,0.725,1.0,0.45,40,140.0001049041748,2279.700016975404,825.0000476837158,3393.799877166749,39
3.0,25.0,1,0.75,0.7,0.75,1.0,0.5,40,132.00020790100098,3408.999896049501,548.0000972747803,3408.999896049501,39
3.0,25.0,1,0.75,0.8,0.75,1.0,0.5,40,127.99978256225586,3560.9998464584364,444.0000057220459,3560.9998464584364,39
3.0,25.0,1,0.75,0.9,0.75,1.0,0.5,40,129.99999523162842,2470.6501364707933,655.9998989105225,2515.200138092037,37
3.0,25.0,1,1.0,0.0,0.75,1.0,0.5,40,240.00012874603271,1832.9499959945676,755.9998035430908,3328.1998634338393,39
3.0,25.0,1,1.0,0.1,0.725,1.0,0.45,40,268.0000066757202,1842.949998378753,767.9998874664307,2661.3001346588153,39
3.0,25.0,1,1.0,0.2,0.675,0.95,0.4,40,312.0001554489136,2032.9500436782832,755.9998035430908,2188.5001182556157,39
3.0,25.0,1,1.0,0.3,0.675,0.9,0.45,40,312.0001554489136,2032.9500436782832,748.0001449584961,2188.5001182556157,39
3.0,25.0,1,1.0,0.4,0.7,0.95,0.45,40,195.99997997283936,2110.2500438690186,748.0001449584961,2188.5001182556157,39
3.0,25.0,1,1.0,0.5,0.7,0.95,0.45,40,195.9998607635498,2160.600113868714,384.0000629425049,2256.9000959396367,39
3.0,25.0,1,1.0,0.6,0.75,1.0,0.5,40,184.00001525878906,2256.9000959396367,384.0000629425049,2256.9000959396367,39
3.0,25.0,1,1.0,0.7,0.75,1.0,0.5,40,187.99996376037598,2296.900081634523,384.0000629425049,2296.900081634523,39
3.0,25.0,1,1.0,0.8,0.725,1.0,0.45,40,187.99996376037598,2296.900081634523,852.9999256134033,2533.6000919342046,39
3.0,25.0,1,1.0,0.9,0.7,1.0,0.4,40,196.0000991821289,3522.100114822388,820.5000162124634,3529.1501045227046,38
3.0,25.0,1,1.25,0.0,0.725,1.0,0.45,40,223.9999771118164,1885.799980163569,908.4999561309814,3828.55005264282,38
3.0,25.0,1,1.25,0.1,0.725,1.0,0.45,40,231.99999332427979,1885.799980163569,836.5000486373901,3828.55005264282,38
3.0,25.0,1,1.25,0.2,0.75,1.0,0.5,40,231.99999332427979,1898.1999874114929,936.0001087188721,2537.400150299077,39
3.0,25.0,1,1.25,0.3,0.775,1.0,0.55,40,231.99999332427979,2274.400126934047,936.0001087188721,2562.2001409530685,39
3.0,25.0,1,1.25,0.4,0.75,1.0,0.5,40,218.00005435943604,2274.400126934047,936.0001087188721,2562.2001409530685,39
3.0,25.0,1,1.25,0.5,0.775,1.0,0.55,40,212.00013160705566,2274.400126934047,903.9998054504395,2562.2001409530685,39
3.0,25.0,1,1.25,0.6,0.8,1.0,0.6,40,212.00013160705566,2162.899875640869,919.9999570846558,2766.5001511573737,38
3.0,25.0,1,1.25,0.7,0.75,1.0,0.5,40,212.00013160705566,2303.8000345230107,936.0001087188721,3113.2000446319435,37
3.0,25.0,1,1.25,0.8,0.775,1.0,0.55,40,223.9999771118164,5300.999903678892,944.4999694824219,3880.4999589920044,36
3.0,25.0,1,1.25,0.9,0.75,1.0,0.5,40,203.99999618530273,4361.300086975095,212.00013160705566,4361.300086975095,35
3.0,25.0,1,1.5,0.0,0.8,1.0,0.6,40,226.0000705718994,1706.3501477241493,1184.000015258789,2913.8999462127726,39
3.0,25.0,1,1.5,0.1,0.775,1.0,0.55,40,226.0000705718994,2313.4000897407527,1167.9999828338623,2913.8999462127726,39
3.0,25.0,1,1.5,0.2,0.775,1.0,0.55,40,283.9999198913574,2002.900099754334,1152.9998779296875,2913.8999462127726,39
3.0,25.0,1,1.5,0.3,0.775,1.0,0.55,40,283.9999198913574,2002.900099754334,1106.9998741149902,3056.3499450683553,38
3.0,25.0,1,1.5,0.4,0.775,1.0,0.55,40,283.9999198913574,2056.900048255921,983.9999675750732,2625.0000715255783,39
3.0,25.0,1,1.5,0.5,0.775,1.0,0.55,40,283.9999198913574,2272.9000568389893,983.9999675750732,2625.0000715255783,39
3.0,25.0,1,1.5,0.6,0.775,1.0,0.55,40,283.9999198913574,2272.9000568389893,983.9999675750732,2943.8999652862594,39
3.0,25.0,1,1.5,0.7,0.775,1.0,0.55,40,256.0000419616699,2610.100030899048,1167.9999828338623,3591.899991035465,39
3.0,25.0,1,1.5,0.8,0.8,1.0,0.6,40,245.99993228912354,3713.3499979972803,255.99980354309082,3689.99996185302,37
3.0,25.0,1,1.5,0.9,0.725,1.0,0.45,40,255.99980354309082,3716.2001132965042,236.00006103515625,4742.899918556211,35
